CURSO RESPONSAVEL;CÓDIGO DE TURMA;TURMA;TEORIA;PRÁTICA;T-P-I;VAGAS;centro responsável;DOCENTE TEORIA;DOCENTE PRÁTICA
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA1MCTA001-17SA;Algoritmos e Estruturas de Dados I A1-diurno (Santo André);quinta das 08:00 às 10:00,  semanal ;terca das 10:00 às 12:00,  semanal ;02/02/2004;48;CMCC;FABRÍCIO OLIVETTI DE FRANÇA;FABRÍCIO OLIVETTI DE FRANÇA
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA1MCTA001-17SA;Algoritmos e Estruturas de Dados I A1-noturno (Santo André);quinta das 19:00 às 21:00,  semanal ;terca das 21:00 às 23:00,  semanal ;02/02/2004;30;CMCC;MONAEL PINHEIRO RIBEIRO;ALEXANDRE NOMA
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA2MCTA001-17SA;Algoritmos e Estruturas de Dados I A2-diurno (Santo André);quinta das 08:00 às 10:00,  semanal ;terca das 10:00 às 12:00,  semanal ;02/02/2004;40;CMCC;FABRÍCIO OLIVETTI DE FRANÇA;JESÚS PASCUAL MENA CHALCO
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA2MCTA001-17SA;Algoritmos e Estruturas de Dados I A2-noturno (Santo André);quinta das 19:00 às 21:00,  semanal ;terca das 21:00 às 23:00,  semanal ;02/02/2004;30;CMCC;MONAEL PINHEIRO RIBEIRO;MONAEL PINHEIRO RIBEIRO
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NAMCZA002-17SA;Aprendizado de Máquina A-noturno (Santo André);segunda das 21:00 às 23:00,  semanal ,  quarta das 19:00 às 21:00,  semanal;;4-0-4;79;CMCC;THIAGO FERREIRA COVÕES;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NAMCZA006-17SA;Computação Evolutiva e Conexionista A-noturno (Santo André);terca das 21:00 às 23:00,  semanal ,  quinta das 19:00 às 21:00,  semanal;;4-0-4;79;CMCC;KARLA VITTORI;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DAMCZA008-17SA;Interação Humano-Computador A-diurno (Santo André);terca das 10:00 às 12:00,  semanal ,  quinta das 08:00 às 10:00,  semanal;;4-0-4;70;CMCC;CARLA LOPES RODRIGUEZ;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DAMCZA032-17SA;Introdução à Programação de Jogos A-diurno (Santo André);;terca das 08:00 às 10:00,  semanal ,  sexta das 10:00 às 12:00,  semanal;02/02/2004;48;CMCC;;RAFAELA VILELA DA ROCHA CAMPOS
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA1MCZA032-17SA;Introdução à Programação de Jogos A1-noturno (Santo André);;terca das 19:00 às 21:00,  semanal ,  sexta das 21:00 às 23:00,  semanal;02/02/2004;48;CMCC;;FRANCISCO ISIDRO MASSETTO
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA2MCZA032-17SA;Introdução à Programação de Jogos A2-noturno (Santo André);;terca das 19:00 às 21:00,  semanal ,  sexta das 21:00 às 23:00,  semanal;02/02/2004;45;CMCC;;HARLEN COSTA BATAGELO
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA1MCZA015-13SA;Mineração de Dados A1-diurno (Santo André);segunda das 10:00 às 12:00,  quinzenal I,  quarta das 08:00 às 10:00,  semanal;segunda das 10:00 às 12:00,  quinzenal II;03/01/2004;40;CMCC;CARLOS DA SILVA DOS SANTOS;CARLOS DA SILVA DOS SANTOS
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA2MCZA015-13SA;Mineração de Dados A2-diurno (Santo André);segunda das 10:00 às 12:00,  quinzenal I,  quarta das 08:00 às 10:00,  semanal;segunda das 10:00 às 12:00,  quinzenal II;03/01/2004;30;CMCC;CARLOS DA SILVA DOS SANTOS;JOÃO MARCELO BOROVINA JOSKO
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DAMCZA033-17SA;Programação Avançada para Dispositivos Móveis A-diurno (Santo André);;segunda das 08:00 às 10:00,  semanal ,  quinta das 10:00 às 12:00,  semanal;0-4-4;48;CMCC;;DIOGO SANTANA MARTINS
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NAMCZA020-13SA;Programação Paralela A-noturno (Santo André);segunda das 19:00 às 21:00,  semanal ,  quinta das 21:00 às 23:00,  semanal;;4-0-4;62;CMCC;EMILIO DE CAMARGO FRANCESQUINI;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA1MCTA023-17SA;Segurança de Dados A1-diurno (Santo André);quarta das 10:00 às 12:00,  semanal ,  sexta das 08:00 às 10:00,  quinzenal I;sexta das 08:00 às 10:00,  quinzenal II;03/01/2004;48;CMCC;DENISE HIDEKO GOYA;DENISE HIDEKO GOYA
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA2MCTA023-17SA;Segurança de Dados A2-diurno (Santo André);quarta das 10:00 às 12:00,  semanal ,  sexta das 08:00 às 10:00,  quinzenal I;sexta das 08:00 às 10:00,  quinzenal II;03/01/2004;30;CMCC;DENISE HIDEKO GOYA;NUNZIO MARCO TORRISI
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA1MCTA023-17SA;Segurança de Dados A1-noturno (Santo André);quarta das 21:00 às 23:00,  semanal ,  sexta das 19:00 às 21:00,  quinzenal I;sexta das 19:00 às 21:00,  quinzenal II;03/01/2004;40;CMCC;CARLO KLEBER DA SILVA RODRIGUES;CARLO KLEBER DA SILVA RODRIGUES
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA2MCTA023-17SA;Segurança de Dados A2-noturno (Santo André);quarta das 21:00 às 23:00,  semanal ,  sexta das 19:00 às 21:00,  quinzenal I;sexta das 19:00 às 21:00,  quinzenal II;03/01/2004;35;CMCC;CARLO KLEBER DA SILVA RODRIGUES;DENISE HIDEKO GOYA
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA1MCTA026-13SA;Sistemas Operacionais A1-diurno (Santo André);segunda das 10:00 às 12:00,  semanal ,  quarta das 08:00 às 10:00,  quinzenal I;quarta das 08:00 às 10:00,  quinzenal II;03/01/2004;40;CMCC;GUSTAVO SOUSA PAVANI;GUSTAVO SOUSA PAVANI
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA2MCTA026-13SA;Sistemas Operacionais A2-diurno (Santo André);segunda das 10:00 às 12:00,  semanal ,  quarta das 08:00 às 10:00,  quinzenal I;quarta das 08:00 às 10:00,  quinzenal II;03/01/2004;35;CMCC;GUSTAVO SOUSA PAVANI;FERNANDO TEUBL FERREIRA
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA1MCTA026-13SA;Sistemas Operacionais A1-noturno (Santo André);segunda das 21:00 às 23:00,  semanal ,  quarta das 19:00 às 21:00,  quinzenal I;quarta das 19:00 às 21:00,  quinzenal II;03/01/2004;40;CMCC;EMILIO DE CAMARGO FRANCESQUINI;EMILIO DE CAMARGO FRANCESQUINI
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA2MCTA026-13SA;Sistemas Operacionais A2-noturno (Santo André);segunda das 21:00 às 23:00,  semanal ,  quarta das 19:00 às 21:00,  quinzenal I;quarta das 19:00 às 21:00,  quinzenal II;03/01/2004;35;CMCC;EMILIO DE CAMARGO FRANCESQUINI;FERNANDO TEUBL FERREIRA
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA1MCTA006-17SA;Circuitos Digitais A1-diurno (Santo André);terca das 08:00 às 10:00,  semanal ,  sexta das 10:00 às 12:00,  quinzenal II;sexta das 10:00 às 12:00,  quinzenal I;03/01/2004;30;CMCC;DENIS GUSTAVO FANTINATO;DENIS GUSTAVO FANTINATO
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA1MCTA006-17SA;Circuitos Digitais A1-noturno (Santo André);terca das 19:00 às 21:00,  semanal ,  sexta das 21:00 às 23:00,  quinzenal II;sexta das 21:00 às 23:00,  quinzenal I;03/01/2004;30;CMCC;FRANCISCO JAVIER ROPERO PELÁEZ;FRANCISCO JAVIER ROPERO PELÁEZ
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA2MCTA006-17SA;Circuitos Digitais A2-diurno (Santo André);terca das 08:00 às 10:00,  semanal ,  sexta das 10:00 às 12:00,  quinzenal II;sexta das 10:00 às 12:00,  quinzenal I;03/01/2004;30;CMCC;DENIS GUSTAVO FANTINATO;RODRIGO MOREIRA BACURAU
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA2MCTA006-17SA;Circuitos Digitais A2-noturno (Santo André);terca das 19:00 às 21:00,  semanal ,  sexta das 21:00 às 23:00,  quinzenal II;sexta das 21:00 às 23:00,  quinzenal I;03/01/2004;30;CMCC;FRANCISCO JAVIER ROPERO PELÁEZ;VALÉRIO RAMOS BATISTA
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA1MCTA033-15SA;Engenharia de Software A1-diurno (Santo André);terca das 08:00 às 10:00,  semanal ,  sexta das 10:00 às 12:00,  semanal ;;4-0-4;70;CMCC;MAGDA APARECIDA SILVERIO MIYASHIRO;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA1MCTA033-15SA;Engenharia de Software A1-noturno (Santo André);terca das 19:00 às 21:00,  semanal ,  sexta das 21:00 às 23:00,  semanal ;;4-0-4;81;CMCC;FLAVIO EDUARDO AOKI HORITA;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA1MCTA015-13SA;Linguagens Formais e Automata A1-diurno (Santo André);segunda das 08:00 às 10:00,  semanal ,  quinta das 10:00 às 12:00,  quinzenal II;quinta das 10:00 às 12:00,  quinzenal I;03/01/2004;40;CMCC;JERÔNIMO CORDONI PELLEGRINI;JERÔNIMO CORDONI PELLEGRINI
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA1MCTA015-13SA;Linguagens Formais e Automata A1-noturno (Santo André);segunda das 19:00 às 21:00,  semanal ,  quinta das 21:00 às 23:00,  quinzenal II;quinta das 21:00 às 23:00,  quinzenal I;03/01/2004;40;CMCC;GUILHERME OLIVEIRA MOTA;GUILHERME OLIVEIRA MOTA
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA2MCTA015-13SA;Linguagens Formais e Automata A2-diurno (Santo André);segunda das 08:00 às 10:00,  semanal ,  quinta das 10:00 às 12:00,  quinzenal II;quinta das 10:00 às 12:00,  quinzenal I;03/01/2004;30;CMCC;JERÔNIMO CORDONI PELLEGRINI;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA2MCTA015-13SA;Linguagens Formais e Automata A2-noturno (Santo André);segunda das 19:00 às 21:00,  semanal ,  quinta das 21:00 às 23:00,  quinzenal II;quinta das 21:00 às 23:00,  quinzenal I;03/01/2004;30;CMCC;GUILHERME OLIVEIRA MOTA;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA1MCTA022-17SA;Redes de Computadores A1-diurno (Santo André);terca das 10:00 às 12:00,  quinzenal I,  quinta das 08:00 às 10:00,  semanal ;terca das 10:00 às 12:00,  quinzenal II;03/01/2004;30;CMCC;GUSTAVO SOUSA PAVANI;GUSTAVO SOUSA PAVANI
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA2MCTA022-17SA;Redes de Computadores A2-diurno (Santo André);terca das 10:00 às 12:00,  quinzenal I,  quinta das 08:00 às 10:00,  semanal ;terca das 10:00 às 12:00,  quinzenal II;03/01/2004;30;CMCC;GUSTAVO SOUSA PAVANI;VLADIMIR EMILIANO MOREIRA ROCHA
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NB1MCTA022-17SA;Redes de Computadores B1-noturno (Santo André);terca das 21:00 às 23:00,  quinzenal I,  quinta das 19:00 às 21:00,  semanal ;terca das 21:00 às 23:00,  quinzenal II;03/01/2004;48;CMCC;CARLO KLEBER DA SILVA RODRIGUES;CARLO KLEBER DA SILVA RODRIGUES
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NB2MCTA022-17SA;Redes de Computadores B2-noturno (Santo André);terca das 21:00 às 23:00,  quinzenal I,  quinta das 19:00 às 21:00,  semanal ;terca das 21:00 às 23:00,  quinzenal II;03/01/2004;30;CMCC;CARLO KLEBER DA SILVA RODRIGUES;VERA NAGAMUTA ARAUJO
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DAMCZA030-17SA;Vida Artificial na Computação A-diurno (Santo André);sexta das 08:00 às 10:00,  semanal;;2-0-4;70;CMCC;MARIA DAS GRAÇAS BRUNO MARIETTO;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NAMCZA030-17SA;Vida Artificial na Computação A-noturno (Santo André);sexta das 19:00 às 21:00,  semanal;;2-0-4;70;CMCC;MARIA DAS GRAÇAS BRUNO MARIETTO;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DABIR0004-15SB;Bases Epistemológicas da Ciência Moderna A-diurno (São Bernardo do Campo);quarta das 08:00 às 10:00,  quinzenal I,  sexta das 10:00 às 12:00,  semanal ;;3-0-4;90;CCNH;GRACIELA DE SOUZA OLIVER;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NABIR0004-15SB;Bases Epistemológicas da Ciência Moderna A-noturno (São Bernardo do Campo);quarta das 19:00 às 21:00,  quinzenal I,  sexta das 21:00 às 23:00,  semanal ;;3-0-4;90;CCNH;VICTOR XIMENES MARQUES;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA1BIR0004-15SA;Bases Epistemológicas da Ciência Moderna A1-diurno (Santo André);quarta das 08:00 às 10:00,  quinzenal I,  sexta das 10:00 às 12:00,  semanal ;;3-0-4;109;CCNH;WILLIAM JOSÉ STEINLE;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA1BIR0004-15SA;Bases Epistemológicas da Ciência Moderna A1-noturno (Santo André);quarta das 19:00 às 21:00,  quinzenal I,  sexta das 21:00 às 23:00,  semanal ;;3-0-4;109;CCNH;LUCIANA ZATERKA;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DBBIR0004-15SA;Bases Epistemológicas da Ciência Moderna B-diurno (Santo André);quarta das 10:00 às 12:00,  quinzenal I,  sexta das 08:00 às 10:00,  semanal ;;3-0-4;95;CCNH;LORENZO BARAVALLE;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NBBIR0004-15SA;Bases Epistemológicas da Ciência Moderna B-noturno (Santo André);quarta das 21:00 às 23:00,  quinzenal I,  sexta das 19:00 às 21:00,  semanal ;;3-0-4;95;CCNH;LUCIANA ZATERKA;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DABCL0306-15SA;Biodiversidade: Interações entre organismos e ambiente A-diurno (Santo André);quarta das 14:00 às 16:00,  quinzenal I,  sexta das 14:00 às 16:00,  semanal ;;3-0-4;86;CCNH;CARLOS SUETOSHI MIYAZAWA;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DABCL0306-15SB;Biodiversidade: Interações entre organismos e ambiente A-diurno (São Bernardo do Campo);quarta das 14:00 às 16:00,  quinzenal I,  sexta das 14:00 às 16:00,  semanal ;;3-0-4;90;CCNH;SIMONE RODRIGUES DE FREITAS;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NABCL0306-15SA;Biodiversidade: Interações entre organismos e ambiente A-noturno (Santo André);quarta das 19:00 às 21:00,  quinzenal I,  sexta das 19:00 às 21:00,  semanal ;;3-0-4;86;CCNH;CARLOS SUETOSHI MIYAZAWA;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA1BCL0306-15SB;Biodiversidade: Interações entre organismos e ambiente A1-noturno (São Bernardo do Campo);quarta das 19:00 às 21:00,  quinzenal II,  sexta das 19:00 às 21:00,  semanal ;;3-0-4;90;CCNH;GUSTAVO MUNIZ DIAS;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA1BCL0308-15SA;Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A1-diurno (Santo André);quarta das 14:00 às 16:00,  quinzenal I,  sexta das 14:00 às 16:00,  semanal ;quarta das 16:00 às 18:00,  semanal ;03/02/2006;30;CCNH;JIRI BORECKY;TIAGO RODRIGUES
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA1BCL0308-15SB;Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A1-diurno (São Bernardo do Campo);quarta das 14:00 às 16:00,  quinzenal I,  sexta das 14:00 às 16:00,  semanal ;quarta das 16:00 às 18:00,  semanal ;03/02/2006;30;CCNH;CÉSAR AUGUSTO JOÃO RIBEIRO;WAGNER RODRIGO DE SOUZA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA1BCL0308-15SA;Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A1-noturno (Santo André);quarta das 19:00 às 21:00,  quinzenal I,  sexta das 19:00 às 21:00,  semanal ;quarta das 21:00 às 23:00,  semanal ;03/02/2006;30;CCNH;0;ISELI LOURENÇO NANTES
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA1BCL0308-15SB;Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A1-noturno (São Bernardo do Campo);quarta das 19:00 às 21:00,  quinzenal II,  sexta das 19:00 às 21:00,  semanal ;quarta das 21:00 às 23:00,  semanal ;03/02/2006;30;CCNH;0;WAGNER RODRIGO DE SOUZA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA2BCL0308-15SA;Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A2-diurno (Santo André);quarta das 14:00 às 16:00,  quinzenal I,  sexta das 14:00 às 16:00,  semanal ;quarta das 16:00 às 18:00,  semanal ;03/02/2006;30;CCNH;0;ADERSON ZOTTIS
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA2BCL0308-15SB;Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A2-diurno (São Bernardo do Campo);quarta das 14:00 às 16:00,  quinzenal II,  sexta das 14:00 às 16:00,  semanal ;quarta das 16:00 às 18:00,  semanal ;03/02/2006;30;CCNH;;HELOISA FRANÇA MALTEZ
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA2BCL0308-15SA;Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A2-noturno (Santo André);quarta das 19:00 às 21:00,  quinzenal I,  sexta das 19:00 às 21:00,  semanal ;quarta das 21:00 às 23:00,  semanal ;03/02/2006;30;CCNH;;DOUGLAS NORBERTO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA2BCL0308-15SB;Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A2-noturno (São Bernardo do Campo);quarta das 19:00 às 21:00,  quinzenal II,  sexta das 19:00 às 21:00,  semanal ;quarta das 21:00 às 23:00,  semanal ;03/02/2006;30;CCNH;0;SÉRGIO DAISHI SASAKI
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA3BCL0308-15SA;Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A3-diurno (Santo André);quarta das 14:00 às 16:00,  quinzenal I,  sexta das 14:00 às 16:00,  semanal ;quarta das 16:00 às 18:00,  semanal ;03/02/2006;30;CCNH;;VIVIANE VIANA SILVA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA3BCL0308-15SB;Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A3-diurno (São Bernardo do Campo);quarta das 14:00 às 16:00,  quinzenal II,  sexta das 14:00 às 16:00,  semanal ;quarta das 16:00 às 18:00,  semanal ;03/02/2006;30;CCNH;;VIVIANE VIANA SILVA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA3BCL0308-15SA;Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A3-noturno (Santo André);quarta das 19:00 às 21:00,  quinzenal I,  sexta das 19:00 às 21:00,  semanal ;quarta das 21:00 às 23:00,  semanal ;03/02/2006;30;CCNH;;AMEDEA BAROZZI SEABRA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA3BCL0308-15SB;Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A3-noturno (São Bernardo do Campo);quarta das 19:00 às 21:00,  quinzenal II,  sexta das 19:00 às 21:00,  semanal ;quarta das 21:00 às 23:00,  semanal ;03/02/2006;30;CCNH;;ELIZABETE CAMPOS DE LIMA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DABIR0603-15SA;Ciência, Tecnologia e Sociedade A-diurno (Santo André);quarta das 08:00 às 10:00,  quinzenal I,  sexta das 10:00 às 12:00,  semanal ;;3-0-4;127;CECS;KÁTIA CANIL;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DABIR0603-15SB;Ciência, Tecnologia e Sociedade A-diurno (São Bernardo do Campo);quarta das 08:00 às 10:00,  quinzenal I,  sexta das 10:00 às 12:00,  semanal ;;3-0-4;90;CECS;MARIA CARAMEZ CARLOTTO;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NABIR0603-15SA;Ciência, Tecnologia e Sociedade A-noturno (Santo André);quarta das 19:00 às 21:00,  quinzenal I,  sexta das 21:00 às 23:00,  semanal ;;3-0-4;127;CECS;NIRLENE NEPOMUCENO;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NABIR0603-15SB;Ciência, Tecnologia e Sociedade A-noturno (São Bernardo do Campo);quarta das 19:00 às 21:00,  quinzenal I,  sexta das 21:00 às 23:00,  semanal ;;3-0-4;90;CECS;MARIANA MENCIO;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA2BIR0603-15SA;Ciência, Tecnologia e Sociedade A2-diurno (Santo André);quarta das 08:00 às 10:00,  quinzenal I,  sexta das 10:00 às 12:00,  semanal ;;3-0-4;90;CECS;ANAPATRÍCIA DE OLIVEIRA MORALES VILHA;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA2BIR0603-15SA;Ciência, Tecnologia e Sociedade A2-noturno (Santo André);quarta das 19:00 às 21:00,  quinzenal I,  sexta das 21:00 às 23:00,  semanal ;;3-0-4;90;CECS;LUCIANA PEREIRA;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DBBIR0603-15SA;Ciência, Tecnologia e Sociedade B-diurno (Santo André);quarta das 10:00 às 12:00,  quinzenal I,  sexta das 08:00 às 10:00,  semanal ;;3-0-4;111;CECS;ANAPATRÍCIA DE OLIVEIRA MORALES VILHA;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NBBIR0603-15SA;Ciência, Tecnologia e Sociedade B-noturno (Santo André);quarta das 21:00 às 23:00,  quinzenal I,  sexta das 19:00 às 21:00,  semanal ;;3-0-4;111;CECS;JOSE PAULO GUEDES PINTO;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB2BIR0603-15SA;Ciência, Tecnologia e Sociedade B2-diurno (Santo André);quarta das 10:00 às 12:00,  quinzenal I,  sexta das 08:00 às 10:00,  semanal ;;3-0-4;90;CECS;GUADALUPE MARIA JUNGERS ABIB DE ALMEIDA;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB2BIR0603-15SA;Ciência, Tecnologia e Sociedade B2-noturno (Santo André);quarta das 21:00 às 23:00,  quinzenal I,  sexta das 19:00 às 21:00,  semanal ;;3-0-4;90;CECS;LUCIANA PEREIRA;
BACHARELADO EM FÍSICA;DANHZ3087-15SB;Consolidação de Conceitos e Métodos de Fenômenos Térmicos A-diurno (São Bernardo do Campo);sexta das 16:00 às 18:00,  semanal ;;0-2-5;45;CCNH;;ROMARLY FERNANDES DA COSTA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DABIQ0602-15SA;Estrutura e Dinâmica Social A-diurno (Santo André);quarta das 08:00 às 10:00,  quinzenal I,  sexta das 10:00 às 12:00,  semanal ;;3-0-4;111;CECS;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NABIQ0602-15SA;Estrutura e Dinâmica Social A-noturno (Santo André);quarta das 19:00 às 21:00,  quinzenal I,  sexta das 21:00 às 23:00,  semanal ;;3-0-4;111;CECS;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB2BIQ0602-15SB;Estrutura e Dinâmica Social B2-diurno (São Bernardo do Campo);quarta das 08:00 às 10:00,  quinzenal I,  sexta das 10:00 às 12:00,  semanal ;;3-0-4;90;CECS;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB2BIQ0602-15SB;Estrutura e Dinâmica Social B2-noturno (São Bernardo do Campo);quarta das 19:00 às 21:00,  quinzenal I,  sexta das 21:00 às 23:00,  semanal ;;3-0-4;90;CECS;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA1BCJ0205-15SA;Fenômenos Térmicos A1-diurno (Santo André);terca das 10:00 às 12:00,  quinzenal II,  sexta das 08:00 às 10:00,  semanal ;terca das 08:00 às 10:00,  quinzenal I;03/01/2004;33;CCNH;JOSÉ KENICHI MIZUKOSHI;JOSÉ KENICHI MIZUKOSHI
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA1BCJ0205-15SB;Fenômenos Térmicos A1-diurno (São Bernardo do Campo);terca das 10:00 às 12:00,  quinzenal II,  sexta das 08:00 às 10:00,  semanal ;terca das 08:00 às 10:00,  quinzenal I;03/01/2004;33;CCNH;FANNY NASCIMENTO COSTA;FANNY NASCIMENTO COSTA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA1BCJ0205-15SA;Fenômenos Térmicos A1-noturno (Santo André);terca das 21:00 às 23:00,  quinzenal II,  sexta das 19:00 às 21:00,  semanal ;terca das 19:00 às 21:00,  quinzenal I;03/01/2004;33;CCNH;VILSON TONIN ZANCHIN;VILSON TONIN ZANCHIN
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA1BCJ0205-15SB;Fenômenos Térmicos A1-noturno (São Bernardo do Campo);terca das 19:00 às 21:00,  quinzenal II,  sexta das 19:00 às 21:00,  semanal ;terca das 19:00 às 21:00,  quinzenal I;03/01/2004;33;CCNH;FLÁVIO LEANDRO DE SOUZA;FLÁVIO LEANDRO DE SOUZA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA2BCJ0205-15SA;Fenômenos Térmicos A2-diurno (Santo André);terca das 10:00 às 12:00,  quinzenal II,  sexta das 08:00 às 10:00,  semanal ;terca das 08:00 às 10:00,  quinzenal II;03/01/2004;33;CCNH;JOSÉ KENICHI MIZUKOSHI;JOSÉ KENICHI MIZUKOSHI
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA2BCJ0205-15SB;Fenômenos Térmicos A2-diurno (São Bernardo do Campo);terca das 10:00 às 12:00,  quinzenal II,  sexta das 08:00 às 10:00,  semanal ;terca das 08:00 às 10:00,  quinzenal I;03/01/2004;33;CCNH;FANNY NASCIMENTO COSTA;LAURA PAULUCCI MARINHO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA2BCJ0205-15SA;Fenômenos Térmicos A2-noturno (Santo André);terca das 21:00 às 23:00,  quinzenal II,  sexta das 19:00 às 21:00,  semanal ;terca das 19:00 às 21:00,  quinzenal II;03/01/2004;33;CCNH;VILSON TONIN ZANCHIN;VILSON TONIN ZANCHIN
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA2BCJ0205-15SB;Fenômenos Térmicos A2-noturno (São Bernardo do Campo);terca das 19:00 às 21:00,  quinzenal II,  sexta das 19:00 às 21:00,  semanal ;terca das 19:00 às 21:00,  quinzenal II;03/01/2004;33;CCNH;FLÁVIO LEANDRO DE SOUZA;FLÁVIO LEANDRO DE SOUZA
